,Volume
170,161801322.5
171,163907896.8
172,162974482.1
173,159887635.9
174,155222076.8
175,150620063.9
176,148531546.1
177,149385869
178,153535057.2
179,160325694.5
180,168512197.2
181,175889760.8
182,180492318.2
183,182244076.8
184,181005991.5
185,176490255.5
186,170960314.3
187,165545921.2
188,161519917.2
189,160170741.6
190,162444973.2
191,167979301.5
192,175108715.1
193,181066370.7
194,184240878.9
195,184576375.7
196,182397249.5
197,178153002.2
198,172468109.7
199,166303080.9
200,161021856.5
201,158279105.3
202,158874171.8
203,162276966.4
204,166495027.4
205,169513325.6
206,170316529.7
207,168975871.6
208,166111765.8
209,162246140.2
210,157527292.5
211,152485997.4
212,148181766.4
213,145717791
214,146066507.8
215,149377764.7
216,153518138.5
217,156791953.5
218,158380858.9
219,158596725
220,158124598.7
221,157358783.6
222,156006996.8
223,154103346.2
224,152347389.3
225,151828548.9
226,153493017
227,157082328.4
228,160521445.7
229,162372916.5
230,162246952.2
231,161094591.1
232,160156855
233,160051188.9
234,160190205
235,160085190.3
236,159941159.9
237,160656580.7
238,162801482.4
239,165818341.4
240,168036085.3
241,167967031.4
242,165539457.2
243,162422289.1
244,160291364
245,159872295.5
246,160882920.8
247,162251741
248,163523997
249,164960218
250,167006328.3
251,169105199.5
252,169514085
253,166892202.6
254,161736147.5
255,155903780.4
256,151517449.6
257,149903690.5
258,151096726.8
259,153961578.3
260,157412299.6
261,161237165.4
262,165688149.4
263,170298087.3
264,172834553.1
265,171636285.7
266,166832534.9
267,160619072.3
268,155552427.3
269,153607809.7
270,155167847.9
271,159684479.9
272,165954944.1
273,172536645.5
274,178960801.6
275,184293181
276,187157436.4
277,185734148.1
278,179482323.6
279,170072095.4
280,160863015
281,154473007.3
282,151892271.8
283,152612728.9
284,155445122.4
285,159814069.5
286,164863622.8
287,169263663.3
288,173434282
289,173896620.2
290,168709109.4
291,159876058.6
292,150093147.3
293,141871663.9
294,137066330.8
295,135971760
296,138243951.9
297,143137614
298,149741585.5
299,157014296
300,163156845
301,165700044.2
302,162991216.1
303,155659053.5
304,146156304.8
305,137160477.6
306,130931635.9
307,128432129.9
308,129782731.9
309,134359076.1
310,141433996.2
311,150178854.1
312,158738743
313,164849445.5
314,166386545.2
315,162659418.1
316,155083320.2
317,146299468.3
318,139036865.9
